DATE,AGE,GENDER,DAILY_STRESS,WEEKLY_MEDITATION,CORE_CIRCLE,SUPPORTING_OTHERS,LIFE_VISION,TIME_FOR_PASSION,YEAR
7/20/2015,36 to 50,Female,0,10,3,10,5,5,2015
7/20/2015,36 to 50,Female,4,10,7,4,8,1,2015
7/20/2015,21 to 35,Female,4,10,4,2,0,0,2015
7/20/2015,21 to 35,Female,3,10,1,10,10,5,2015
7/20/2015,21 to 35,Male,4,10,1,4,1,1,2015
7/21/2015,36 to 50,Male,2,7,3,8,8,1,2015
7/21/2015,36 to 50,Male,3,7,4,10,3,1,2015
7/21/2015,36 to 50,Female,5,1,1,1,0,0,2015
7/21/2015,21 to 35,Female,5,1,2,10,3,2,2015
7/21/2015,21 to 35,Female,3,3,6,10,5,5,2015
7/21/2015,21 to 35,Female,3,3,6,7,5,3,2015
7/21/2015,51 or more,Female,3,4,3,5,4,4,2015
7/21/2015,36 to 50,Female,3,6,10,10,10,2,2015
7/21/2015,21 to 35,Male,4,3,10,4,5,2,2015
7/21/2015,21 to 35,Female,4,6,3,10,2,5,2015
7/21/2015,21 to 35,Male,2,9,3,2,1,2,2015
7/22/2015,36 to 50,Female,2,7,8,8,10,2,2015
7/22/2015,21 to 35,Female,3,2,10,3,0,0,2015
7/22/2015,21 to 35,Female,4,3,8,8,0,1,2015
7/22/2015,21 to 35,Male,2,7,1,0,3,1,2015
7/22/2015,51 or more,Female,2,7,4,1,0,5,2015
7/23/2015,36 to 50,Female,2,2,6,5,5,2,2015
7/23/2015,21 to 35,Male,2,6,6,3,2,5,2015
7/23/2015,21 to 35,Female,3,7,5,1,0,0,2015
7/23/2015,51 or more,Female,2,8,7,7,10,2,2015
7/23/2015,Less than 20,Female,2,10,7,4,9,5,2015
7/23/2015,Less than 20,Female,2,10,7,4,9,5,2015
7/23/2015,21 to 35,Female,5,10,3,2,10,3,2015
7/24/2015,51 or more,Female,5,10,10,3,0,3,2015
7/24/2015,21 to 35,Male,1,4,0,0,2,4,2015
7/24/2015,21 to 35,Female,2,4,8,4,5,2,2015
7/24/2015,21 to 35,Female,2,4,8,4,5,2,2015
7/24/2015,21 to 35,Male,2,10,5,6,2,3,2015
7/24/2015,21 to 35,Female,3,3,6,5,2,5,2015
7/24/2015,36 to 50,Female,2,10,4,4,1,1,2015
7/24/2015,36 to 50,Male,4,8,3,10,10,2,2015
7/24/2015,36 to 50,Female,5,10,7,2,0,0,2015
7/24/2015,21 to 35,Female,3,7,7,2,0,1,2015
7/24/2015,Less than 20,Male,4,5,5,0,4,4,2015
7/24/2015,21 to 35,Male,4,8,7,4,0,3,2015
7/25/2015,21 to 35,Male,3,10,5,6,0,4,2015
7/25/2015,36 to 50,Female,0,10,10,2,0,7,2015
7/25/2015,36 to 50,Female,2,4,1,3,0,0,2015
7/25/2015,36 to 50,Female,3,8,3,2,5,1,2015
7/25/2015,21 to 35,Male,4,5,3,3,3,3,2015
7/25/2015,36 to 50,Male,3,1,5,6,1,1,2015
7/25/2015,21 to 35,Female,2,8,5,1,0,1,2015
7/25/2015,51 or more,Female,3,5,10,6,10,2,2015
7/25/2015,Less than 20,Female,1,4,6,6,2,2,2015
7/25/2015,21 to 35,Female,4,4,1,8,3,0,2015
7/26/2015,51 or more,Female,4,5,6,10,5,6,2015
7/26/2015,Less than 20,Female,4,3,4,2,3,2,2015
7/26/2015,Less than 20,Male,1,7,6,2,4,3,2015
7/26/2015,36 to 50,Male,2,5,10,8,5,6,2015
7/26/2015,Less than 20,Male,1,7,4,2,2,5,2015
7/26/2015,Less than 20,Male,0,5,4,4,2,5,2015
7/26/2015,51 or more,Female,2,4,4,7,10,8,2015
7/26/2015,51 or more,Female,3,10,4,10,10,6,2015
7/26/2015,51 or more,Female,3,7,10,5,2,3,2015
7/26/2015,21 to 35,Male,2,1,3,1,3,0,2015
7/26/2015,36 to 50,Female,5,3,6,2,5,3,2015
7/26/2015,36 to 50,Female,4,7,5,8,0,2,2015
7/26/2015,36 to 50,Female,2,6,6,4,4,4,2015
7/27/2015,36 to 50,Female,5,5,5,10,0,9,2015
7/27/2015,36 to 50,Female,4,0,2,10,0,0,2015
7/27/2015,36 to 50,Male,3,10,6,4,1,2,2015
7/27/2015,21 to 35,Male,3,10,3,0,2,6,2015
7/27/2015,36 to 50,Female,1,10,8,10,10,1,2015
7/27/2015,36 to 50,Female,5,7,3,6,1,4,2015
7/27/2015,36 to 50,Female,3,6,4,10,10,2,2015
7/27/2015,Less than 20,Female,5,3,5,6,5,1,2015
7/27/2015,21 to 35,Female,3,5,7,4,5,3,2015
7/27/2015,36 to 50,Female,3,1,2,3,0,0,2015
7/27/2015,51 or more,Female,3,7,7,10,3,1,2015
7/27/2015,51 or more,Male,2,3,10,6,3,4,2015
7/27/2015,51 or more,Male,2,3,10,6,3,4,2015
7/27/2015,51 or more,Female,5,1,1,6,3,0,2015
7/27/2015,21 to 35,Male,1,4,5,3,1,1,2015
7/27/2015,51 or more,Female,3,7,10,10,10,6,2015
7/27/2015,51 or more,Female,2,7,10,10,2,2,2015
7/27/2015,21 to 35,Male,3,10,2,2,0,0,2015
7/28/2015,51 or more,Female,3,5,10,10,10,10,2015
7/28/2015,21 to 35,Female,2,4,3,2,0,4,2015
7/28/2015,21 to 35,Female,3,6,8,4,2,1,2015
7/28/2015,51 or more,Male,4,5,6,10,2,1,2015
7/28/2015,21 to 35,Female,4,3,5,10,1,0,2015
7/28/2015,21 to 35,Male,4,2,1,4,1,1,2015
7/28/2015,21 to 35,Male,3,8,10,1,4,5,2015
7/28/2015,51 or more,Female,3,7,5,8,5,4,2015
7/29/2015,51 or more,Male,1,10,2,0,1,0,2015
7/29/2015,Less than 20,Male,1,7,4,2,3,3,2015
7/29/2015,Less than 20,Male,1,7,4,2,3,3,2015
7/29/2015,36 to 50,Female,2,7,8,8,6,1,2015
7/29/2015,51 or more,Female,3,3,5,8,0,1,2015
7/29/2015,21 to 35,Female,1,9,3,0,10,1,2015
7/29/2015,21 to 35,Male,1,1,9,8,1,0,2015
7/29/2015,51 or more,Female,4,10,4,10,8,10,2015
7/29/2015,21 to 35,Female,2,8,4,4,1,2,2015
7/29/2015,51 or more,Female,2,10,6,1,2,1,2015
7/29/2015,51 or more,Female,1,10,10,10,3,4,2015
7/29/2015,51 or more,Female,2,10,3,3,2,10,2015
7/29/2015,21 to 35,Female,4,0,7,6,1,0,2015
7/29/2015,51 or more,Female,2,9,3,4,5,2,2015
7/30/2015,21 to 35,Female,3,10,10,10,0,5,2015
7/30/2015,51 or more,Male,2,8,2,10,0,8,2015
7/30/2015,Less than 20,Female,3,7,9,8,4,6,2015
7/30/2015,36 to 50,Female,2,4,8,10,5,4,2015
7/30/2015,21 to 35,Female,3,10,5,4,1,1,2015
7/30/2015,21 to 35,Female,5,3,4,4,0,1,2015
7/30/2015,21 to 35,Male,4,9,4,0,1,5,2015
7/30/2015,21 to 35,Female,4,3,10,7,4,3,2015
7/30/2015,36 to 50,Male,4,10,0,9,2,4,2015
7/30/2015,36 to 50,Male,4,2,10,5,0,0,2015
7/30/2015,21 to 35,Male,1,10,8,10,0,10,2015
7/31/2015,36 to 50,Female,4,7,10,10,2,7,2015
7/31/2015,Less than 20,Female,4,10,6,5,6,2,2015
7/31/2015,21 to 35,Female,4,3,10,7,4,3,2015
7/31/2015,36 to 50,Male,4,8,8,4,3,1,2015
7/31/2015,51 or more,Female,4,9,5,7,10,4,2015
7/31/2015,36 to 50,Male,1,10,3,10,1,5,2015
7/31/2015,36 to 50,Male,1,10,3,10,1,5,2015
7/31/2015,51 or more,Male,4,2,5,3,4,1,2015
7/31/2015,21 to 35,Male,1,10,4,10,10,5,2015
7/31/2015,21 to 35,Male,1,10,4,10,10,5,2015
7/31/2015,36 to 50,Female,4,3,1,10,0,1,2015
7/31/2015,21 to 35,Female,1,10,9,10,3,6,2015
7/31/2015,21 to 35,Female,4,8,10,6,0,1,2015
7/31/2015,21 to 35,Male,0,10,9,8,4,3,2015
7/31/2015,51 or more,Female,1,10,10,10,4,5,2015
7/31/2015,21 to 35,Male,1,10,7,7,3,5,2015
8/1/2015,36 to 50,Female,4,3,5,4,8,5,2015
8/1/2015,51 or more,Female,5,5,4,5,1,2,2015
8/1/2015,36 to 50,Male,2,10,10,10,3,5,2015
8/1/2015,36 to 50,Male,5,7,2,10,2,2,2015
8/1/2015,36 to 50,Male,5,7,2,10,2,2,2015
8/1/2015,21 to 35,Male,3,1,4,4,1,0,2015
8/2/2015,51 or more,Male,0,10,3,10,1,4,2015
8/2/2015,36 to 50,Female,2,3,5,4,4,3,2015
8/2/2015,36 to 50,Female,2,3,5,4,4,3,2015
8/3/2015,21 to 35,Female,1,4,9,3,2,3,2015
8/3/2015,21 to 35,Female,5,5,5,3,0,3,2015
8/3/2015,36 to 50,Female,2,10,8,8,7,5,2015
8/3/2015,36 to 50,Female,1,10,10,7,10,3,2015
8/3/2015,36 to 50,Female,3,10,10,10,10,4,2015
8/3/2015,51 or more,Female,0,10,10,10,2,3,2015
8/3/2015,36 to 50,Male,4,5,4,3,5,1,2015
8/3/2015,36 to 50,Female,2,4,4,3,5,1,2015
8/3/2015,21 to 35,Male,4,1,1,0,1,0,2015
8/3/2015,51 or more,Female,5,1,1,10,2,0,2015
8/3/2015,36 to 50,Female,3,5,2,3,4,2,2015
8/3/2015,21 to 35,Female,1,7,5,4,3,5,2015
8/3/2015,21 to 35,Male,2,8,3,6,4,5,2015
8/3/2015,21 to 35,Female,2,10,10,10,2,6,2015
8/3/2015,36 to 50,Female,3,7,9,4,1,3,2015
8/3/2015,51 or more,Male,5,3,4,3,1,1,2015
8/4/2015,36 to 50,Female,3,2,3,1,3,8,2015
8/4/2015,21 to 35,Male,2,4,8,1,2,0,2015
8/4/2015,21 to 35,Male,1,5,10,10,1,2,2015
8/4/2015,51 or more,Female,3,7,2,10,1,0,2015
8/4/2015,36 to 50,Female,3,8,3,2,5,1,2015
8/4/2015,51 or more,Female,4,3,10,10,10,6,2015
8/4/2015,Less than 20,Male,2,10,2,0,0,4,2015
8/4/2015,36 to 50,Female,3,4,10,7,5,2,2015
8/5/2015,21 to 35,Male,4,5,5,10,3,2,2015
8/5/2015,36 to 50,Male,3,10,10,7,10,4,2015
8/5/2015,51 or more,Male,3,2,3,1,1,1,2015
8/5/2015,21 to 35,Male,4,2,5,8,2,1,2015
8/5/2015,21 to 35,Female,5,10,5,2,0,3,2015
8/5/2015,36 to 50,Female,1,10,2,10,1,5,2015
8/5/2015,21 to 35,Female,2,5,8,6,1,1,2015
8/5/2015,51 or more,Male,2,7,6,8,3,5,2015
8/5/2015,36 to 50,Female,2,7,10,10,1,5,2015
8/5/2015,51 or more,Female,1,3,3,0,5,3,2015
8/5/2015,51 or more,Male,4,5,6,10,3,1,2015
8/5/2015,51 or more,Male,1,7,8,10,2,5,2015
8/5/2015,21 to 35,Female,1,5,4,10,5,7,2015
8/5/2015,Less than 20,Female,4,9,6,0,2,0,2015
8/5/2015,Less than 20,Female,4,5,4,0,2,0,2015
8/5/2015,21 to 35,Male,1,10,5,3,10,2,2015
8/5/2015,21 to 35,Female,3,3,1,3,0,1,2015
8/6/2015,51 or more,Female,1,7,10,6,0,0,2015
8/6/2015,36 to 50,Female,2,10,10,10,5,10,2015
8/6/2015,36 to 50,Female,3,3,3,3,0,1,2015
8/6/2015,21 to 35,Female,5,3,4,2,0,8,2015
8/6/2015,51 or more,Female,2,10,10,10,10,10,2015
8/6/2015,51 or more,Female,2,10,4,10,0,1,2015
8/6/2015,21 to 35,Male,5,10,8,2,1,3,2015
8/6/2015,21 to 35,Male,4,3,5,6,2,1,2015
8/6/2015,36 to 50,Female,2,10,3,10,10,2,2015
8/6/2015,36 to 50,Female,2,7,4,0,0,0,2015
8/6/2015,36 to 50,Female,1,6,5,3,0,6,2015
8/7/2015,21 to 35,Female,3,10,8,6,2,0,2015
8/7/2015,36 to 50,Male,1,5,9,9,3,9,2015
8/7/2015,51 or more,Female,4,3,5,5,5,3,2015
8/7/2015,21 to 35,Female,3,7,4,2,8,2,2015
8/7/2015,51 or more,Male,0,7,6,5,2,10,2015
8/7/2015,36 to 50,Male,3,8,10,4,3,2,2015
8/8/2015,51 or more,Female,4,1,1,10,1,5,2015
8/8/2015,36 to 50,Male,5,10,2,10,0,1,2015
8/8/2015,51 or more,Male,4,5,4,10,8,3,2015
8/8/2015,36 to 50,Female,3,1,3,1,1,0,2015
8/8/2015,51 or more,Female,2,10,5,5,0,4,2015
8/8/2015,Less than 20,Female,2,10,2,1,2,4,2015
8/8/2015,Less than 20,Male,2,10,6,5,3,6,2015
8/9/2015,21 to 35,Female,5,2,3,1,1,0,2015
8/9/2015,21 to 35,Female,4,10,4,1,3,0,2015
8/9/2015,Less than 20,Female,1,2,8,10,3,4,2015
8/9/2015,36 to 50,Female,1,10,10,10,10,4,2015
8/9/2015,36 to 50,Female,3,7,6,4,2,1,2015
8/9/2015,21 to 35,Female,5,4,4,3,2,2,2015
8/9/2015,21 to 35,Male,3,10,0,0,0,0,2015
8/9/2015,21 to 35,Male,5,7,1,3,0,0,2015
8/9/2015,36 to 50,Male,1,10,2,10,1,4,2015
8/9/2015,21 to 35,Female,2,10,3,6,5,5,2015
8/9/2015,21 to 35,Male,3,3,6,5,2,4,2015
8/9/2015,36 to 50,Male,2,10,5,2,5,5,2015
8/9/2015,21 to 35,Female,5,2,2,2,1,0,2015
8/9/2015,36 to 50,Male,4,7,3,0,10,2,2015
8/10/2015,21 to 35,Male,1,4,2,3,3,5,2015
8/10/2015,36 to 50,Female,3,6,10,6,2,10,2015
8/10/2015,51 or more,Female,2,10,2,10,10,2,2015
8/10/2015,21 to 35,Female,3,3,5,10,5,1,2015
8/10/2015,36 to 50,Male,0,5,10,2,7,7,2015
8/10/2015,51 or more,Female,3,10,10,10,10,1,2015
8/10/2015,51 or more,Male,2,10,5,2,2,1,2015
8/10/2015,36 to 50,Male,5,5,5,5,5,5,2015
8/10/2015,51 or more,Female,3,6,10,10,5,4,2015
8/10/2015,21 to 35,Female,3,7,6,3,5,1,2015
8/10/2015,51 or more,Female,1,4,5,10,1,1,2015
8/10/2015,36 to 50,Female,3,6,10,6,2,10,2015
8/10/2015,21 to 35,Male,1,6,5,1,1,1,2015
8/10/2015,36 to 50,Male,4,5,10,5,2,2,2015
8/10/2015,36 to 50,Female,2,7,7,8,4,1,2015
8/11/2015,36 to 50,Female,3,5,5,2,7,1,2015
8/11/2015,36 to 50,Male,3,2,6,4,1,1,2015
8/11/2015,21 to 35,Female,2,7,8,3,1,1,2015
8/11/2015,36 to 50,Female,4,10,5,8,3,3,2015
8/11/2015,36 to 50,Male,3,3,5,6,1,2,2015
8/11/2015,36 to 50,Female,4,0,10,10,0,0,2015
8/11/2015,36 to 50,Female,5,3,2,10,5,3,2015
8/11/2015,36 to 50,Male,4,3,4,10,2,1,2015
8/11/2015,36 to 50,Female,2,7,7,10,10,1,2015
8/11/2015,36 to 50,Male,3,6,2,10,4,2,2015
8/11/2015,51 or more,Male,2,3,5,2,0,4,2015
8/11/2015,36 to 50,Female,1,7,7,6,5,7,2015
8/11/2015,51 or more,Male,1,6,2,2,3,0,2015
8/12/2015,36 to 50,Female,3,6,10,6,2,10,2015
8/12/2015,51 or more,Male,1,5,1,1,0,8,2015
8/12/2015,36 to 50,Female,3,10,7,10,7,7,2015
8/12/2015,21 to 35,Male,3,10,10,0,1,1,2015
8/12/2015,Less than 20,Female,3,4,8,5,4,8,2015
8/12/2015,36 to 50,Female,5,3,3,5,2,1,2015
8/12/2015,36 to 50,Female,2,1,2,2,5,2,2015
8/12/2015,21 to 35,Female,5,3,1,2,1,1,2015
8/12/2015,21 to 35,Female,2,9,1,3,2,3,2015
8/12/2015,51 or more,Female,1,3,5,6,10,5,2015
8/12/2015,36 to 50,Female,3,7,10,4,0,2,2015
8/13/2015,21 to 35,Female,4,10,6,8,3,4,2015
8/13/2015,21 to 35,Male,2,4,5,2,1,1,2015
8/13/2015,21 to 35,Male,1,10,6,0,1,1,2015
8/13/2015,21 to 35,Female,4,4,4,3,0,5,2015
8/13/2015,21 to 35,Male,0,10,1,1,5,10,2015
8/13/2015,21 to 35,Male,2,5,5,4,0,9,2015
8/13/2015,36 to 50,Female,0,5,10,10,6,1,2015
8/13/2015,21 to 35,Female,1,4,2,1,5,0,2015
8/13/2015,36 to 50,Female,4,5,10,5,0,7,2015
8/13/2015,21 to 35,Male,3,10,6,2,0,1,2015
8/13/2015,21 to 35,Male,3,7,4,2,3,3,2015
8/13/2015,36 to 50,Male,4,7,8,5,0,1,2015
8/13/2015,36 to 50,Male,2,2,3,3,0,2,2015
8/13/2015,51 or more,Female,4,10,3,5,2,1,2015
8/14/2015,36 to 50,Male,4,3,2,0,3,0,2015
8/14/2015,36 to 50,Male,2,6,2,6,0,2,2015
8/14/2015,36 to 50,Female,1,5,5,5,5,2,2015
8/14/2015,36 to 50,Female,2,5,10,8,5,3,2015
8/14/2015,21 to 35,Male,2,7,4,4,1,3,2015
8/14/2015,51 or more,Female,3,7,7,4,2,0,2015
8/14/2015,21 to 35,Male,2,7,4,4,1,3,2015
8/14/2015,51 or more,Female,2,3,10,8,3,3,2015
8/14/2015,21 to 35,Female,2,6,3,3,3,3,2015
8/14/2015,21 to 35,Male,1,10,5,4,2,5,2015
8/14/2015,51 or more,Female,3,7,4,10,1,10,2015
8/14/2015,Less than 20,Female,3,10,8,8,3,8,2015
8/15/2015,36 to 50,Male,2,9,4,1,0,8,2015
8/15/2015,36 to 50,Male,2,3,8,5,5,0,2015
8/15/2015,21 to 35,Male,3,7,3,0,1,4,2015
8/15/2015,21 to 35,Female,1,7,10,6,3,4,2015
8/16/2015,21 to 35,Female,4,4,3,3,5,1,2015
8/16/2015,21 to 35,Male,2,10,4,9,3,5,2015
8/16/2015,21 to 35,Male,2,10,4,9,3,5,2015
8/16/2015,36 to 50,Male,3,7,2,4,2,1,2015
8/16/2015,21 to 35,Male,2,10,8,3,0,7,2015
8/16/2015,Less than 20,Male,5,10,3,2,0,3,2015
8/16/2015,36 to 50,Female,3,10,1,3,2,4,2015
8/16/2015,21 to 35,Female,3,10,6,1,0,2,2015
8/17/2015,36 to 50,Male,5,4,4,5,10,1,2015
8/16/2015,36 to 50,Male,2,10,10,4,1,1,2015
8/16/2015,36 to 50,Male,2,10,10,4,1,1,2015
8/17/2015,21 to 35,Female,2,10,10,10,7,5,2015
8/17/2015,21 to 35,Female,2,10,7,2,5,2,2015
8/17/2015,36 to 50,Female,4,8,3,5,8,6,2015
8/17/2015,21 to 35,Female,3,5,2,2,0,0,2015
8/17/2015,21 to 35,Male,3,7,7,2,0,2,2015
8/17/2015,51 or more,Female,1,7,4,10,3,3,2015
8/17/2015,21 to 35,Female,4,5,1,10,2,1,2015
8/17/2015,51 or more,Male,0,10,10,10,10,7,2015
8/17/2015,36 to 50,Male,2,2,2,2,0,0,2015
8/17/2015,36 to 50,Male,4,10,5,1,0,0,2015
8/17/2015,36 to 50,Male,4,10,5,1,0,0,2015
8/18/2015,51 or more,Female,4,7,9,10,0,3,2015
8/18/2015,36 to 50,Female,3,7,10,8,2,2,2015
8/18/2015,36 to 50,Female,3,7,10,8,2,2,2015
8/18/2015,51 or more,Female,4,7,7,3,10,1,2015
8/18/2015,51 or more,Female,2,10,3,5,2,6,2015
8/18/2015,36 to 50,Female,2,5,4,1,0,0,2015
8/18/2015,21 to 35,Female,3,3,3,8,0,1,2015
8/18/2015,21 to 35,Female,3,2,3,8,0,1,2015
8/18/2015,51 or more,Male,2,8,6,4,10,4,2015
8/18/2015,51 or more,Female,1,10,10,5,10,1,2015
8/18/2015,51 or more,Male,2,5,4,4,1,1,2015
8/18/2015,51 or more,Female,2,9,3,10,2,1,2015
8/19/2015,21 to 35,Female,2,7,6,3,2,7,2015
8/19/2015,36 to 50,Male,4,6,6,7,3,6,2015
8/19/2015,36 to 50,Male,3,5,5,2,8,10,2015
8/19/2015,51 or more,Female,1,8,10,7,6,2,2015
8/19/2015,21 to 35,Female,5,10,10,5,0,1,2015
8/19/2015,21 to 35,Female,5,10,5,6,2,1,2015
8/19/2015,21 to 35,Female,1,10,9,5,3,2,2015
8/19/2015,51 or more,Female,1,10,10,10,10,8,2015
8/19/2015,51 or more,Female,1,10,7,3,10,5,2015
8/19/2015,51 or more,Female,0,10,10,10,10,3,2015
8/20/2015,51 or more,Female,1,10,10,10,10,6,2015
8/20/2015,36 to 50,Male,1,6,10,10,10,10,2015
8/20/2015,36 to 50,Female,4,2,3,5,1,0,2015
8/20/2015,51 or more,Female,1,7,4,5,1,3,2015
8/20/2015,51 or more,Male,4,10,5,6,1,1,2015
8/20/2015,36 to 50,Male,3,8,10,5,10,5,2015
8/20/2015,36 to 50,Female,1,2,6,8,2,1,2015
8/20/2015,21 to 35,Male,4,10,5,0,2,3,2015
8/20/2015,51 or more,Male,2,10,5,10,3,3,2015
8/20/2015,51 or more,Male,2,10,5,10,3,3,2015
8/20/2015,21 to 35,Female,1,5,9,9,3,2,2015
8/20/2015,21 to 35,Female,1,4,7,4,3,1,2015
8/20/2015,51 or more,Female,3,10,3,7,4,8,2015
8/20/2015,36 to 50,Male,1,7,8,4,2,1,2015
8/20/2015,Less than 20,Male,1,5,10,0,7,3,2015
8/21/2015,36 to 50,Male,2,4,2,1,1,2,2015
8/21/2015,Less than 20,Male,0,10,0,2,8,6,2015
8/21/2015,21 to 35,Male,3,7,4,3,2,1,2015
8/21/2015,21 to 35,Male,5,3,5,3,2,2,2015
8/21/2015,51 or more,Female,1,10,7,8,5,8,2015
8/21/2015,51 or more,Male,2,10,1,6,3,0,2015
8/21/2015,Less than 20,Female,4,7,7,5,3,1,2015
8/21/2015,51 or more,Male,2,10,5,10,3,3,2015
8/21/2015,51 or more,Male,2,10,5,10,3,3,2015
8/21/2015,51 or more,Female,2,7,7,4,0,2,2015
8/21/2015,36 to 50,Female,3,10,10,10,0,0,2015
8/21/2015,36 to 50,Female,1,9,6,1,6,3,2015
8/21/2015,51 or more,Male,2,10,5,10,3,3,2015
8/21/2015,51 or more,Female,4,7,1,4,0,6,2015
